claim_id,tweet_id,label
0,1697950090223026335,misleading
1,1697935446666510767,misleading
2,1697673466311262549,false
3,1697920041440694475,misleading
4,1698045070379733235,misleading
5,1697716676245029049,misleading
6,1697668748658835901,false
8,1697880971721265630,misleading
9,1696104279038152883,misleading
11,1697715448882618450,misleading
12,1697564098081280462,misleading
13,1696640015206326418,misleading
14,1697431624705614124,misleading
15,1695839887105081675,misleading
16,1696998636435997146,misleading
17,1697202360563450337,misleading
18,1696641366757978497,misleading
19,1696387235015163916,false
20,1696489507783057662,misleading
31,1695830876301447460,false
22,1696859486646899012,misleading
23,1695878795398467712,false
24,1696612331038360017,misleading
35,1695751396551717050,misleading
26,1696499456328294632,misleading
27,1696098290637373649,misleading
28,1696257337244225609,false
29,1695770477933809935,misleading
31,1695830460671082768,false
35,1695762477366095976,misleading
33,1695562752394220008,false
37,1695502735087386719,misleading
35,1695731917465759785,misleading
37,1695415669133627612,misleading
38,1695188574818210113,misleading
39,1695351317294661835,false
40,1695011523758805005,false
41,1694607557594054668,false
42,1693591903369900133,true
43,1694627949989826698,false
44,1694068182997176615,misleading
45,1693596696410808611,false
46,1693610319468175618,misleading
60,1693148148644925742,false
48,1693679079218635186,misleading
49,1693526759088566662,misleading
50,1693603663569400097,false
51,1693291169202008064,misleading
52,1693565837376995376,misleading
53,1692986173365338186,misleading
54,1692476026842993073,misleading
55,1693212521107210274,misleading
56,1692904591396880406,misleading
57,1692916382533394939,misleading
77,1690121963983851520,misleading
60,1692843099695779889,false
61,1692936301115285998,misleading
62,1692648609160831427,misleading
63,1692521021260046451,false
65,1691897186756223218,misleading
66,1691561744693330031,misleading
67,1691646861776466070,misleading
68,1691377286946136064,misleading
69,1690075567389884416,false
70,1691265004564004864,misleading
71,1691411920861933570,misleading
72,1691234907274514432,misleading
74,1689974918379712512,misleading
75,1689965329659613184,misleading
76,1689745147179749376,misleading
77,1690062419819638784,misleading
78,1689310332622118912,misleading
79,1690166123843448832,false
80,1689594436148228096,misleading
81,1689514016039657477,misleading
82,1689595874836373505,false
83,1688999393783943168,false
84,1689023416681037824,misleading
85,1687748910054256642,misleading
86,1687966813181644800,misleading
99,1685904164860141568,misleading
89,1687085274482794497,misleading
90,1687611897648975872,misleading
91,1687096670927081472,misleading
92,1686550657606594560,misleading
93,1686544726390898688,false
94,1686834602474627073,misleading
99,1685707924759318529,misleading
96,1685709556851077120,misleading
97,1686630328331280384,misleading
106,1686092459380527105,misleading
99,1685716610147889152,misleading
100,1686078862063517717,misleading
101,1686395364977311745,misleading
102,1685737168226930688,misleading
110,1686089497937584128,misleading
104,1685622985233702912,misleading
105,1686060114380206080,misleading
