claim_id,tweet_id,tweet_link,misbar_url
0,1697950090223026335,https://twitter.com/anyuser/status/1697950090223026335,https://misbar.com/factcheck/2023/09/03/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D9%82%D8%AA%D9%84-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D8%A9-%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D9%81%D9%8A-%D9%88%D8%B6%D8%AD-%D8%A7%D9%84%D9%86%D9%87%D8%A7%D8%B1
1,1697935446666510767,https://twitter.com/anyuser/status/1697935446666510767,https://misbar.com/factcheck/2023/09/03/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D8%AD%D9%85%D9%84%D8%A9-%D8%A3%D9%85%D9%86%D9%8A%D8%A9-%D9%82%D8%AF%D9%8A%D9%85%D8%A9-%D9%81%D9%8A-%D9%88%D9%87%D8%B1%D8%A7%D9%86-%D9%88%D9%84%D8%A7-%D8%B9%D9%84%D8%A7%D9%82%D8%A9-%D9%84%D9%87-%D8%A8%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D9%87%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1%D8%A9
2,1697673466311262549,https://twitter.com/anyuser/status/1697673466311262549,https://misbar.com/factcheck/2023/09/03/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%AA%D8%A7%D9%86-%D9%82%D8%AF%D9%8A%D9%85%D8%AA%D8%A7%D9%86-%D9%88%D9%84%D9%8A%D8%B3%D8%AA%D8%A7-%D9%84%D9%88%D8%B5%D9%88%D9%84-%D8%B5%D9%84%D8%A7%D8%AD-%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%81%D8%AD%D8%B5-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5-%D8%A8%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84-%D9%84%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A
3,1697920041440694475,https://twitter.com/anyuser/status/1697920041440694475,https://misbar.com/factcheck/2023/09/03/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%8A%D8%B3-%D9%84%D8%A7%D9%82%D8%AA%D8%AD%D8%A7%D9%85-%D9%86%D8%B4%D8%B7%D8%A7%D8%A1-%D8%A3%D9%81%D8%A7%D8%B1%D9%82%D8%A9-%D8%B3%D9%81%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3-%D8%AD%D8%AF%D9%8A%D8%AB%D8%A7
4,1698045070379733235,https://twitter.com/anyuser/status/1698045070379733235,https://misbar.com/factcheck/2023/09/03/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8%D8%A7%D8%AA-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%88%D9%84%D9%8A%D8%B3-%D9%85%D9%86-%D8%A7%D9%84%D9%82%D8%B5%D9%81-%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1-%D9%84%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%B9%D9%84-%D8%A5%D8%AF%D9%84%D8%A8
5,1697716676245029049,https://twitter.com/anyuser/status/1697716676245029049,https://misbar.com/factcheck/2023/09/03/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%82%D8%AF%D9%8A%D9%85%D8%A9-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D8%AA%D9%85%D8%B1%D9%83%D8%B2-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D8%B1%D8%B7%D9%88%D9%85-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A-%D8%AD%D8%AF%D9%8A%D8%AB%D8%A7
6,"1697668748658835901
","https://twitter.com/anyuser/status/1697668748658835901
",https://misbar.com/factcheck
7,1696840571032080623,https://twitter.com/anyuser/status/1696840571032080623,https://misbar.com/factcheck/2023/09/02/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%B5%D9%84%D8%A7%D8%AD-%D9%88%D9%87%D9%88-%D9%8A%D8%AC%D8%B1%D9%8A-%D8%A7%D9%84%D9%81%D8%AD%D9%88%D8%B5%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D8%AA%D8%AD%D8%B6%D9%8A%D8%B1%D8%A7-%D9%84%D8%A7%D9%86%D8%AA%D9%82%D8%A7%D9%84%D9%87-%D8%A5%D9%84-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF
8,1697880971721265630,https://twitter.com/anyuser/status/1697880971721265630,https://misbar.com/factcheck/2023/09/02/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%8A%D8%B3-%D9%85%D9%86-%D8%A5%D8%B9%D8%B5%D8%A7%D8%B1-%D8%B3%D8%A7%D9%88%D9%84%D8%A7-%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1-%D8%A7%D9%84%D8%B0%D9%8A-%D8%B6%D8%B1%D8%A8-%D9%87%D9%88%D9%86%D8%BA-%D9%83%D9%88%D9%86%D8%BA
9,1696104279038152883,https://twitter.com/anyuser/status/1696104279038152883,https://misbar.com/factcheck/2023/09/02/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%8A%D8%B3-%D9%84%D9%88%D8%B5%D9%88%D9%84-%D9%85%D8%AD%D9%85%D8%AF-%D8%B5%D9%84%D8%A7%D8%AD-%D8%A5%D9%84-%D9%85%D8%B7%D8%A7%D8%B1-%D8%AC%D8%AF%D8%A9-%D9%84%D9%84%D8%A7%D9%86%D8%B6%D9%85%D8%A7%D9%85-%D8%A5%D9%84-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A
